펀드코드,약칭,펀드명,섹터
112603,NPL3-1호,이지스NPL일반사모부동산투자신탁제3-1호,NPL
112356,311호,이지스글로벌전문투자형사모부동산투자신탁311호,오피스
112178,166호(C종),이지스임대주택전문투자형사모부동산투자신탁166호(재간접형) (C종),주거
112241,210호(3종),이지스제210호전문투자형사모부동산투자회사(3종),복합(오피스)
190004,543호(보통주),이지스부동산일반사모투자회사제543호(보통주식),물류
112148,133호,이지스전문투자형사모부동산투자신탁133호,호텔
112651,부산특구1호(C-i),이지스부산특구부동산투자신탁제1호(C-I),오피스
112306,285호,이지스전문투자형사모투자신탁285호,주거
112398,331호(2종),이지스일반사모부동산투자신탁제331호(2종),복합(호텔)
190003,543호(1종),이지스부동산일반사모투자회사제543호(제1종), 
112244,229호(C-I),이지스글로벌부동산투자신탁229호(파생형) (Class C-I),복합(오피스)
112098,109-2호,이지스글로벌일반사모부동산자투자신탁109-2호,대출채권
112395,222호(1종),이지스제222호전문투자형사모부동산투자회사(1종),오피스
112489,388호(2종),이지스전문투자형사모부동산투자신탁제388호(2종), 
112231,225호,이지스SH1전문투자형사모부동산투자신탁225호, 
112025,22호,이지스 KORIF 사모부동산투자신탁 22호,오피스
112633,리츠플랫폼(C-i),이지스리츠플랫폼일반사모부동산투자신탁 Class C-f, 
112777,508호(3종),이지스일반사모부동산투자신탁제508호(3종),지분증권
112164,165호,이지스글로벌일반사모부동산투자신탁165호,호텔
120102,국내PF재구조화1-3호(모),이지스국내PF재구조화일반사모부동산모투자신탁제1-3호,NPL
112220,178호(3종),이지스전문투자형사모부동산투자신탁178호 3종, 
112181,151호(2종),이지스제151호전문투자형사모부동산투자유한회사(2종),주거
300071,초단기채1호(C-S),이지스초단기채플러스일반사모투자신탁제1호(Class C-S),기타
112009,11-1호,이지스KORIF사모부동산 투자신탁 11-1호,오피스
112082,NPL1호,이지스NPL일반사모부동산투자신탁1호,NPL
120030,인컴앤그로스2-4-4호(보통주),이지스인컴앤그로스제2의4의4호일반사모부동산자투자회사(보통주),물류
112545,386호(2종),이지스미국일반사모부동산투자신탁386호(2종),복합(오피스)
112185,144호,이지스전문투자형사모부동산투자신탁144호(운용),오피스
112370,에이치밸류(2종),에이치밸류전문투자형사모부동산투자유한회사(2종),리테일
112328,286호,이지스전문투자형사모부동산투자신탁286호(운용),물류
120119,국내PF재구조화1-4호(모),이지스국내PF재구조화일반사모부동산모투자신탁제1-4호,지분증권
112473,기회추구2-2-1호(C2),이지스기회추구전문투자형사모부동산자투자신탁제2-2-1호(C2),지분증권
120025,애월엔터2종,애월엔터테인먼트일반사모투자신탁(2종),지분증권
112004,5호,피에스KORIF사모부동산투자신탁5호,리테일
112674,473호(2종),이지스일반사모부동산투자신탁제473호(2종),지분증권
112740,멀티인컴2호,이지스 멀티인컴 일반사모투자신탁 제2호(운용),기타
112089,103호(A),이지스제103호전문투자형사모부동산투자유한회사(Class A),리테일
112357,310호,이지스글로벌공모부동산투자신탁310호(파생형), 
112071,81호,이지스제81호사모부동산투자유한회사,오피스
112154,145호,이지스부동산투자신탁145호,복합(오피스)
