entity_key,entity_type,entity_id,display_title,token_text,token_type,rank_weight,related_asset_id,related_fund_id,related_project_id,source_table,relation_path
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(1종),asset_alias:inferred_fund_name,95,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(2종),asset_alias:inferred_fund_name,95,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(1종),asset_alias:inferred_fund_short_name,95,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(2종),asset_alias:inferred_fund_short_name,95,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,asset_alias:inferred_project_mission_name,95,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,A112328001,asset_code,95,ast_0264aa763175,,,asset_master,asset:self
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,asset_alias:fund_asset_name,90,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,asset_alias:project_mission_name,90,ast_0264aa763175,,,asset_aliases,asset:alias
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,4150033025101180002,pnu,85,ast_0264aa763175,,,asset_master,asset:self
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,112328,linked_fund_id,75,ast_0264aa763175,112328,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,112329,linked_fund_id,75,ast_0264aa763175,112329,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,112330,linked_fund_id,75,ast_0264aa763175,112330,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(운용),linked_fund_name,75,ast_0264aa763175,112328,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(1종),linked_fund_name,75,ast_0264aa763175,112329,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,이지스전문투자형사모부동산투자신탁286호(2종),linked_fund_name,75,ast_0264aa763175,112330,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_project_mission_name,75,ast_0264aa763175,112328,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_project_mission_name,75,ast_0264aa763175,112329,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_project_mission_name,75,ast_0264aa763175,112330,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호,linked_fund_short_name,75,ast_0264aa763175,112328,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(1종),linked_fund_short_name,75,ast_0264aa763175,112329,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(2종),linked_fund_short_name,75,ast_0264aa763175,112330,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_source_asset_name,75,ast_0264aa763175,112328,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_source_asset_name,75,ast_0264aa763175,112329,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,덕평CJ물류센터,linked_fund_source_asset_name,75,ast_0264aa763175,112330,,asset_fund_links,fund_asset:fund_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호,linked_fund_title,70,ast_0264aa763175,112328,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(1종),linked_fund_title,70,ast_0264aa763175,112329,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,286호(2종),linked_fund_title,70,ast_0264aa763175,112330,,asset_project_links,asset_project:fund_as_project:target_to_asset
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,경기도 이천시 호법면 매곡리 118-2,address,65,ast_0264aa763175,,,asset_master,asset:self
asset:ast_0264aa763175,asset,ast_0264aa763175,A112328001,물류,main_usage,30,ast_0264aa763175,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,A112140001,asset_display_title,100,ast_02870a4cfd6e,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,A112140001,asset_code,95,ast_02870a4cfd6e,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,1114011000100990000,pnu,85,ast_02870a4cfd6e,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,서울특별시 중구 수표동 99,address,65,ast_02870a4cfd6e,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,오피스,asset_type,30,ast_02870a4cfd6e,,,asset_master,asset:self
asset:ast_02870a4cfd6e,asset,ast_02870a4cfd6e,A112140001,업무시설,main_usage,30,ast_02870a4cfd6e,,,asset_master,asset:self
