asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_2fd5f7d4daa1,A120085001,경산 쿠팡물류센터,경산 쿠팡물류센터,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_a838dff2176d,A112036002,Bell 본사(몬트리올) (대출),Bell 본사(몬트리올) (대출),,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_ab996f8ae3c9,A300046001,ETF,ETF,,,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_7d6f8cc1d9cb,A200030002,시그니처타워,시그니처타워,,,,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_5a6aabdecd80,A112036003,OJP사옥(워싱턴) (대출),OJP사옥(워싱턴) (대출),,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_12a2b6420432,A120045005,와이에이치파워1 주식,,지분증권 · 코어에너지1호,코어에너지1호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_0aa438f94f1a,A120045006,와이에이치파워2 주식,,지분증권 · 코어에너지1호,코어에너지1호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_cb72bc41c781,A120045007,와이에이치파워3 주식,,지분증권 · 코어에너지1호,코어에너지1호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_70826a89921c,A120045008,와이에이치파워4 주식,,지분증권 · 코어에너지1호,코어에너지1호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_19343fe25554,A120047001,이지스 코어에너지인프라 1호 수익증권,,금융상품 · A120047001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_53985b2bb7f9,A120050001,수서역세권 공공주택지구 B1-3BL 개발사업 브릿지대출,수서역세권 공공주택지구 B1-3BL 개발사업 브릿지대출,,"수서PF, 수서PF(1종), 수서PF(2종)",주거,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_e53c191931b7,A120053001,하이파킹 대여금,하이파킹 대여금,,모빌리티1호,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_fa4bc636d98d,A120056001,"금융기관 등이 보유하는 담보부 부실 대출재권, 기타 부실징후자산 및 기업관련 대출 채권 등(블라인드)",,노트/채권 · NPL4호,NPL4호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_92f8a9036c31,A120056002,아이에이제십오차유동화전문 유한회사,아이에이제십오차유동화전문 유한회사,,NPL4호,특별자산,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_720898f0f98d,A120056003,아이에이제십육차유동화전문 유한회사,아이에이제십육차유동화전문 유한회사,,NPL4호,특별자산,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_d148de771db5,A120057001,세원이앤씨(주)의 담보부 신주인수권부 사채,세원이앤씨(주)의 담보부 신주인수권부 사채,,SBW턴어라운드,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
